id_libro,Unidad,Titulo,Autor,Clasificacion
53193,1,QUALITY PROBLEM SOLVING,"SMITH, GERALD F.",TS 156 S62
46750,1,ANALISIS NUMERICO,"BURDEN, RICHARD L.",QA 297 B949
46820,1,HACIA UNA PEDAGOGIA DEL CONOCIMIENTO,"FLOREZ OCHOA, RAFAEL",LB 1051 F643
49757,1,AUTOAPRENDIZAJE DOMINE SU LENGUAJECOMO DOMINAR LA,ESCARPANTER JOSE,PC 4143 E56
46752,1,AZAHARES AL VIENTO,"ROBLES PAYAN, PATRICIA",PN 6051 R667
46861,1,ROBOTICA: MANIPULADORES Y ROBOTS MOVILES,"OLLERO BATURONE, ANiBAL",TJ 211 O42
46747,1,MICRODIALISIS,,QP 356.3 M632
4968,1,SOCIAL ISSUES IN BUSINESS,"LUTHANS, FRED",HC 79.P6 L973
49686,1,POLLUTION PREVENTION: PROBLEMS AND SOLUTIONS,THEODORE LOUIS,TD 897.7 T388
46749,1,MANAGING THE DATA WAREHOUSE,"INMON, W.H.",QA 76.9 I57
4978,1,LAPLACE TRANSFORMS AND CONTROL SYSTEMS THEORY FOR,"BOGART, THEODORE F.",QA 402.3 B674
49687,1,TECHNIQUES IN MICROBIAL ECOLOGY,,QR 100 T255
49788,1,LA LECTURA ANALiTICO-CRiTICA : UN ENFOQUE COGNOSIT,"KABALEN, DONNA MARIE",LB 2365 K11
46746,1,REDUCCION DE ENERGIA MEDIANTE : PRACTICAS MEJORADA,"BANNISTER, KENNETH E.",TJ 163.5 B219
46857,1,ESTRUCTURAS DE DATOS Y ALGORITMOS,"WEISS, MARK ALLEN",QA 9.58 W429
46754,1,TEORIAS DE LA COMUNICACION,"MORAGAS SPA, MIGUEL DE",HM 258 M827
46748,1,EXPERIMENTAL RESEARCH DESING AND ANALYSIS : A PRAC,"HOSHMAND, A. REZA",S 540.S7 H825
46860,1,ALGEBRA LINEAL Y ECUACIONES DIFERENCIALES CON MATL,GOLUBITSKY MARTIN,QA 185 G617
46755,1,PLANIFICACION Y CONTROL DE PROYECTOS,"SANTANA LARENAS, GERARDO",TS 158 S235
46872,1,ECUACIONES DIFERENCIALES: CON PROBLEMAS DE VALORES,ZILL G. DENNIS,QA 371 Z64
53146,1,ALGEBRA,"BELLO, IGNACIO",QA 154.2 B446
49781,1,LIDERAZGO SIN LIMITES : MANUAL DE SUPERVIVENCIA PA,"HEIFETZ, RONALD A.",HD 57.7 H465
4976,1,LA NOVELA DE LA REVOLUCION MEXICANA : SEL. INT. G,"CASTRO LEAL, ANTONIO",PQ 6457 C355
49750,1,ENCICLOPEDIA INTERACTIVA DE LOS CONOCIMIENTOS,,AE 61 E56
49751,1,ENCICLOPEDIA INTERACTIVA DE LOS CONOCIMIENTOS,,AE 61 E56
49752,1,ENCICLOPEDIA INTERACTIVA DE LOS CONOCIMIENTOS,,AE 61 E56
46809,1,IMAGENES DIGITALES. PROCESAMIENTO PRACTICO CON JAV,,TA 1637 I314
46808,1,IMAGENES DIGITALES. PROCESAMIENTO PRACTICO CON JAV,,TA 1637 I314
46807,1,FORO DE INNOVACION DOCENTE Y CURRICULUM,,LB 1027 F692
46806,1,LA UNIVERSIDAD MEXICANA EN EL UMBRAL DEL SIGLO XXI,,LB 2331.65 U58
49793,1,LIDERAZGO : LA GRANDEZA INTERNA,"KOESTENBAUM, PETER",HD 57.7 K77
49789,1,LA LECTURA ANALiTICO-CRiTICA : UN ENFOQUE COGNOSIT,"KABALEN, DONNA MARIE",LB 2365 K11
49792,1,LIDERAZGO : LA GRANDEZA INTERNA,"KOESTENBAUM, PETER",HD 57.7 K77
46763,1,PRINCIPIOS DE SISTEMAS DE INFORMACION,"SCOTT, GEORGE M.",T 58.6 S38
49762,1,LOS CODIGOS DE ETICA EN LAS EMPRESAS : INSTRUCCION,"MICHELE, ROBERTO DE",HF 5387 M623
468,1,SERIE ADMINISTRACION DINAMICA,,HD 31 A238
46761,1,THE PROPERTIES OF GASES AND LIQUIDS,"REID, ROBERT C.",TP 242 R353
4977,1,LA NOVELA DE LA REVOLUCION MEXICANA : SEL. INT. G,"CASTRO LEAL, ANTONIO",PQ 6457 C355
49770,1,EL DESARROLLO DE LA TECNOLOGiA : LA APORTACION DE,"ALBA ANDRADE, FERNANANDO",QC 7 A325
49775,1,METODOLOGiA DE LA INVESTIGACION PARA ADMINISTRACIO,"BERNAL T., CESAR AUGUSTO",HD 30.4 B517
46762,1,FUNDAMENTOS DE METROLOGiA ELECTRICA,"KARCZ, ANDRES M.",TJ 1313 K18
4679,1,GEOGRAFIA E HISTORIA DE BAJA CALIFORNIA,"ROMERO ACEVES MARQUEZ, MARIA DEL CARMEN DEL",F 1246 R763
46871,1,PNL PARA TODOS : EL MODELO DE LA EXCELENCIA,"SAMBRANO, JAZMIN",P 121 S188
46805,1,ELECTROMECANIZADO : ELECTROEROSION Y MECANIZADO EL,"MOLERA SOLA, PERE",TS 147 P962
51263,1,COMO PROGRAMAR EN JAVA,DEITEL M. HARVEY,QA 76.73.J38 D325
51275,1,MERCADO LABORAL DE PROFESIONISTAS EN MEXICO: DIAGN,ANUIES,LB 2331.65 A637
51273,1,GRAN CONSULTOR PRACTICO,,AE 65 G748
51272,1,GRAN CONSULTOR PRACTICO,,AE 65 G748
51270,1,GRAN CONSULTOR PRACTICO,,AE 65 G748
5313,1,INTRODUCCION A LA TECNICA DE INVESTIGACION EN CIEN,"ARIAS GALICIA, FERNANDO",HD 30.4 A696
51269,1,GRAN CONSULTOR PRACTICO,,AE 65 G748
51268,1,GRAN CONSULTOR PRACTICO,,AE 65 G748
51267,1,GRAN CONSULTOR PRACTICO,,AE 65 G748
49685,1,ENVIRONMENTAL MICROBIOLOGY,MAIER RAINA M.,QR 100 M217
51265,1,GRAN CONSULTOR PRACTICO,,AE 65 G748
46865,1,LA DANZA DEL CAMBIO LOS RETOS DE SOTENER EL IMPULS,,HD 58.9 D199
51262,1,MICROCONTROLADORES PIC: DISENO PRACTICO DE APLICAC,ANGULO USATEGUI JOSE MA.,TK 7868 A594
51309,1,MARKS: MANUAL DEL INGENIERO MECANICO:REVISADO POR,,TJ 151 M294
53139,1,PRINCIPIOS DIGITALES,"TOKHEIM, ROGER L.",TK 7888.4 T646
51278,1,PREMIO ANUIES 2000 CATEGORiA DE ENSAYOS,ANUIES,LB 2331.65 A637
53140,1,LO QUE SABEN LOS MEJORES CEOS : SIETE LIDERES EXCE,"KRAMES, JEFFREY A.",HD 38.25 K896
53141,1,CALCULO : CONCEPTOS Y CONTEXTOS,"STEWART, JAMES",QA 304 S799
53143,1,ALGEBRA,"BELLO, IGNACIO",QA 154.2 B446
53184,1,PROCESO CONTABLE 1 : CONTABILIDAD FUNDAMENTAL,"ELIZONDO LOPEZ, ARTURO",HF 5651 E43
51266,1,GRAN CONSULTOR PRACTICO,,AE 65 G748
49690,1,ANTOLOGiA SOBRE TEORiA GENERAL DE SISTEMAS,"MAULEON YANEZ, MANUEL ENRIQUE",Q 295 M447
49684,1,"THE YEASTS, A TOXONOMIC STUDY",,QK 617.5 Y43
46753,1,LA UNIVERSIDAD VIRTUAL EN MEXICO,,LB 2331.65 A637
49683,1,INTRODUCTION TO SURFACE CHEMISTRY AND CATALYSISI,SOMORJAI GABOR A.,QD 506 S693
49780,1,LIDERAZGO SIN LIMITES : MANUAL DE SUPERVIVENCIA PA,"HEIFETZ, RONALD A.",HD 57.7 H465
46854,1,COMUNICACION E INFORMACION : PERSPECTIVAS TEORIC,"PAOLI, J. ANTONIO",Q 360 P211
46869,1,MECANICA DE FLUIDOS Y MAQUINAS HIDRAULICAS,"MATAIX, CLAUDIO",QA 901 M425
46870,1,PNL PARA TODOS : EL MODELO DE LA EXCELENCIA,"SAMBRANO, JAZMIN",P 121 S188
46858,1,ESTRUCTURAS DE DATOS Y ALGORITMOS,"WEISS, MARK ALLEN",QA 9.58 W429
5314,1,INTERPRETACION CORRECTA DE ESTADOS FINANCIEROS : E,"MILLER, DONALD E.",HG 4011 M648
49682,1,ENVIRONMENTAL SOIL AND WATER CHEMISTRY : PRINCIPIO,,TD 878 E92
46873,1,OPTICA INSTRUMENTAL,"ROCA, JOAN ANTO",QC 363 R669
46874,1,INGENIERIA MECANICA : DINAMICA,BORESI P. ARTHUR,QA 845 B842
46867,1,MAQUINAS HERRAMIENTAS PARA EL TRABAJO DE METALES,"MEMBRETTI, GEROLAMO",TJ 1180 M533
46855,1,COMUNICACION E INFORMACION : PERSPECTIVAS TEORIC,"PAOLI, J. ANTONIO",Q 360 P211
46856,1,COMUNICACION E INFORMACION : PERSPECTIVAS TEORIC,"PAOLI, J. ANTONIO",Q 360 P211
